Date,volume_std,ROC,close_std,close,close_m
2021-09-29,-1.730174159044085,-0.17,3.5017055078170825,14739.75,736.9875
2021-09-28,-1.7268725819940218,-2.83,3.509665929042531,14764.75,738.2375
2021-09-27,-1.739284066089629,-0.81,3.6465851741202457,15194.75,759.7375
2021-09-24,1.102578949909952,0.1,3.686068863398471,15318.75,765.9375
2021-09-23,-1.746437483031432,0.92,3.681213006450947,15303.5,765.175
2021-09-22,1.8688505271032725,0.93,3.6366346475884352,15163.5,758.175
2021-09-21,2.242784698180776,0.1,3.5922154971504323,15024.0,751.2
2021-09-20,3.326924776916272,-3.08,3.5875984528396723,15009.5,750.475
2021-09-17,-1.7284622302033112,-0.2,3.739537420685563,15486.67,774.3335
2021-09-16,-1.12953169719559,0.09,3.749433816353041,15517.75,775.8875
2021-09-15,-0.8156373161766394,0.76,3.745055584679044,15504.0,775.2
2021-09-14,-0.3200950570884829,-0.32,3.707800813343945,15387.0,769.35
2021-09-13,0.4469713442094827,-0.07,3.723642051582588,15436.75,771.8375
2021-09-10,0.6887201526529831,-0.75,3.725154531615423,15441.5,772.075
2021-09-09,1.4741897889892628,-0.39,3.762488907162776,15558.75,777.9375
2021-09-08,1.6460552165397633,-0.35,3.781991939165125,15620.0,781.0
2021-09-07,1.5400379090432963,-0.1,3.7994252616488575,15674.75,783.7375
2021-09-03,1.0558677486831347,0.32,3.792022069909191,15651.5,782.575
2021-09-02,1.0605755529952616,-0.05,3.775942019033785,15601.0,780.05
2021-09-01,1.0718865114075145,0.17,3.778568958038184,15609.25,780.4625
2021-08-31,1.4120712281954853,-0.1,3.770051307326953,15582.5,779.125
2021-08-30,0.7788409780565541,1.1,3.7748275600622216,15597.5,779.875
2021-08-27,0.9224595797342936,0.99,3.720378278880154,15426.5,771.325
2021-08-26,1.6765030937792331,-0.58,3.672058522041681,15274.75,763.7375
2021-08-25,0.7034549687467827,0.06,3.7005568300287854,15364.25,768.2125
2021-08-24,0.4610336168301213,0.33,3.69777068259988,15355.5,767.775
2021-08-23,0.7484542411328262,1.39,3.681531423299965,15304.5,765.225
2021-08-20,1.310150321853726,1.06,3.612196154426308,15086.75,754.3375
2021-08-19,2.7146656550768142,0.53,3.56164747964471,14928.0,746.4
2021-08-18,1.7038328149158657,-0.99,3.536572152784548,14849.25,742.4625
2021-08-17,2.4317082738232685,-0.9,3.583777450651457,14997.5,749.875
2021-08-16,1.8379746676536093,0.08,3.627241350542406,15134.0,756.7
2021-08-13,0.4545527433614791,0.31,3.624614411538008,15125.75,756.2875
2021-08-12,0.5751214460045199,0.39,3.60956921542191,15078.5,753.925
2021-08-11,1.1587669000767644,-0.17,3.5907826213298515,15019.5,750.975
2021-08-10,1.1318651611503252,-0.53,3.5987430425553004,15044.5,752.225
2021-08-09,0.4354158245342622,0.2,3.624455203113499,15125.25,756.2625
2021-08-06,0.8247573551787263,-0.48,3.614982301855216,15095.5,754.775
2021-08-05,0.3141134381023187,0.63,3.6379879191967617,15167.75,758.3875
2021-08-04,0.9508898265542804,0.18,3.607977131176821,15073.5,753.675
2021-08-03,1.407485704514842,0.63,3.5993002720410816,15046.25,752.3125
2021-08-02,0.9535800004469244,-0.09,3.569528296657904,14952.75,747.6375
2021-07-30,1.3173037387955293,-0.55,3.570483547204958,14955.75,747.7875
2021-07-29,0.7484542411328262,0.17,3.596593728824429,15037.75,751.8875
2021-07-28,1.754823838244616,0.43,3.5882352865377083,15011.5,750.575
2021-07-27,2.333211225163057,-1.12,3.5679362124128144,14947.75,747.3875
2021-07-26,0.6196315958646281,0.13,3.622067076745864,15117.75,755.8875
2021-07-23,0.9726557789583994,1.14,3.61577834397776,15098.0,754.9
2021-07-22,0.8269584065454348,0.68,3.561806688069219,14928.5,746.425
2021-07-21,0.6980746209614949,0.71,3.5297261905306616,14827.75,741.3875
2021-07-20,1.4623897080510746,1.25,3.4962924213837776,14722.75,736.1375
2021-07-19,2.6297417565113057,-0.88,3.438340554862512,14540.75,727.0375
2021-07-16,1.5213901127420149,-0.79,3.47965514102259,14670.5,733.525
2021-07-15,2.1069920569180005,-0.7,3.516909912357689,14787.5,739.375
2021-07-14,1.2779293754577412,0.18,3.55010486886781,14891.75,744.5875
2021-07-13,1.3219504027919142,-0.03,3.54158721815658,14865.0,743.25
2021-07-12,0.4428749430547749,0.4,3.542940489764906,14869.25,743.4625
2021-07-09,0.8229231457064691,0.67,3.524233499885102,14810.5,740.525
2021-07-08,2.0851038238823976,-0.61,3.492949044469089,14712.25,735.6125
