Date,Open,High,Low,Close,Volume,Dividends,Stock_Splits,spindex_close_adjusted,spindex_volume_adjusted
2000-01-03,1469.25,1478,1438.359985,1455.219971,931800000,0,0,-0.352787228,-1.50110825
2000-01-04,1455.219971,1455.219971,1397.430054,1399.420044,1009000000,0,0,-0.422068215,-1.450235364
2000-01-05,1399.420044,1413.27002,1377.680054,1402.109985,1085500000,0,0,-0.418728394,-1.39982376
2000-01-06,1402.109985,1411.900024,1392.099976,1403.449951,1092300000,0,0,-0.417064697,-1.395342729
2000-01-07,1403.449951,1441.469971,1400.72998,1441.469971,1225200000,0,0,-0.369859178,-1.307764923
2000-01-10,1441.469971,1464.359985,1441.469971,1457.599976,1064800000,0,0,-0.349832223,-1.413464547
2000-01-11,1457.599976,1458.660034,1434.420044,1438.560059,1014000000,0,0,-0.373472115,-1.446940488
2000-01-12,1438.560059,1442.599976,1427.079956,1432.25,974600000,0,0,-0.381306661,-1.472904111
2000-01-13,1432.25,1454.199951,1432.25,1449.680054,1030400000,0,0,-0.359665569,-1.436133294
2000-01-14,1449.680054,1473,1449.680054,1465.150024,1085900000,0,0,-0.340458111,-1.39956017
2000-01-18,1465.150024,1465.150024,1451.300049,1455.140015,1056700000,0,0,-0.352886501,-1.418802246
2000-01-19,1455.140015,1461.390015,1448.680054,1455.900024,1087800000,0,0,-0.351942877,-1.398308117
2000-01-20,1455.900024,1465.709961,1438.540039,1445.569946,1100700000,0,0,-0.364768664,-1.389807337
2000-01-21,1445.569946,1453.180054,1439.599976,1441.359985,1209800000,0,0,-0.369995737,-1.317913141
2000-01-24,1441.359985,1454.089966,1395.420044,1401.530029,1115800000,0,0,-0.419448465,-1.379856811
2000-01-25,1401.530029,1414.26001,1388.48999,1410.030029,1073700000,0,0,-0.408894896,-1.407599668
2000-01-26,1410.030029,1412.72998,1400.160034,1404.089966,1117300000,0,0,-0.416270057,-1.378868348
2000-01-27,1404.089966,1418.859985,1370.98999,1398.560059,1129500000,0,0,-0.423135969,-1.370828851
2000-01-28,1398.560059,1398.560059,1356.199951,1360.160034,1095800000,0,0,-0.470813301,-1.393036315
2000-01-31,1360.160034,1394.47998,1350.140015,1394.459961,993800000,0,0,-0.428226636,-1.460251787
2000-02-01,1394.459961,1412.48999,1384.790039,1409.280029,981000000,0,0,-0.409826094,-1.46868667
2000-02-02,1409.280029,1420.609985,1403.48999,1409.119995,1038600000,0,0,-0.410024791,-1.430729698
2000-02-03,1409.119995,1425.780029,1398.52002,1424.969971,1146500000,0,0,-0.390345519,-1.359626272
2000-02-04,1424.969971,1435.910034,1420.630005,1424.369995,1045100000,0,0,-0.391090447,-1.426446359
2000-02-07,1424.369995,1427.150024,1413.329956,1424.23999,918100000,0,0,-0.39125186,-1.510136211
2000-02-08,1424.23999,1441.829956,1424.23999,1441.719971,1047700000,0,0,-0.369548779,-1.424733023
